,fromnode,tonode,key,linknwid,highway,name,oneway,reversed,length,lanes,maxspeed,ref,access,junction,bridge,tunnel,geometry,inundationDepth,LS_0,DS_0,DS_1,time,recov,mean_downtime,std_downtime
1132,102592779,11907983999,0,711701687,tertiary,Melvin Avenue,0,False,91.46300496255243,,,,,,no,,"LINESTRING (-76.50151940000001 38.9924115, -76.500801 38.9930155)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
1133,102592779,11907903295,0,711701687,tertiary,Melvin Avenue,0,True,24.760577137386242,,,,,,no,,"LINESTRING (-76.50151940000001 38.9924115, -76.5017139 38.992248)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
1134,102592779,11872618276,0,1303091354,residential,Tolson Street,0,False,47.75109574672362,,,,,,no,,"LINESTRING (-76.50151940000001 38.9924115, -76.501576 38.9924712, -76.50191409999999 38.9927103)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
1135,102592781,11907935205,0,541147435,residential,Monterey Avenue,0,False,38.528179985820174,,,,,,no,,"LINESTRING (-76.5024433 38.9930846, -76.50274330000001 38.9928283)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
1136,102592781,11907983977,0,541147435,residential,Monterey Avenue,0,True,50.60305448912473,,,,,,no,,"LINESTRING (-76.5024433 38.9930846, -76.50204909999999 38.9934211)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
1137,102592781,11907983969,0,1303091354,residential,Tolson Street,0,True,24.235691739767663,,,,,,no,,"LINESTRING (-76.5024433 38.9930846, -76.5022359 38.9929379)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
1138,7698084110,102591773,0,352622541,residential,Badger Road,0,False,26.349855183710158,,,,,,no,,"LINESTRING (-76.4947064 38.9900378, -76.49444320000001 38.9899182)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
1139,7698084110,3583828380,0,352622541,residential,Badger Road,0,True,333.471794953888,,,,,,no,,"LINESTRING (-76.4947064 38.9900378, -76.4950218 38.9901811, -76.49546460000001 38.9904858, -76.4961697 38.9911522, -76.4963477 38.9912116, -76.4964904 38.9912252, -76.4965821 38.9912093, -76.4977956 38.9908641, -76.4978634 38.9908601)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
1140,7698084111,7698084110,0,824427562,residential,Sellers Road,1,False,24.56946654537183,,,,,,no,,"LINESTRING (-76.4945082 38.9901962, -76.4947064 38.9900378)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
1141,7698084111,503282524,0,824427561,residential,Sellers Road,0,False,183.67332814238387,,,,,,no,,"LINESTRING (-76.4945082 38.9901962, -76.49464 38.9907425, -76.494598 38.990805, -76.4933056 38.9910113)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
1142,3812553074,5184562690,0,377851562,residential,Maryland Avenue,0,False,47.260512497454414,,,,,,no,,"LINESTRING (-76.4861463 38.983297, -76.4864934 38.9829686)",11.23939957876752,0.9335978429,0.06640215709999997,0.9335978429,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],"[0.06640216 0.06640216 0.06640242 0.53320108 0.99999973 1.
 1.         1.         1.         1.        ]",2.8007935287000003,0.7469519838392282
1143,3812553075,5184736610,0,11505567,residential,Blake Road,0,False,65.51089097137161,,,,,,no,,"LINESTRING (-76.4865518 38.9822656, -76.4864299 38.9822516, -76.4862755 38.9822244, -76.48613589999999 38.9821849, -76.4859829 38.9821323, -76.4858773 38.9820824, -76.4858495 38.9820635)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
1144,3812553075,3812550653,0,11505567,residential,Blake Road,0,True,42.72262321527228,,,,,,no,,"LINESTRING (-76.4865518 38.9822656, -76.4866569 38.9822717, -76.4867335 38.9822885, -76.4868074 38.9823293, -76.4869714 38.9824417)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
1145,3812553076,3812599942,0,"[1063805343, 11505567]",residential,Blake Road,0,"[False, True]",50.89211905052381,,,,,,no,,"LINESTRING (-76.4851917 38.981277, -76.48511910000001 38.9812315, -76.4854394 38.9809376)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
1146,3812553076,5184736608,0,11505567,residential,Blake Road,0,True,44.737880491535186,,,,,,no,,"LINESTRING (-76.4851917 38.981277, -76.48531490000001 38.9813611, -76.4853705 38.9813948, -76.4853937 38.9814296, -76.4854165 38.9815039, -76.4854533 38.9816007, -76.48545129999999 38.9816039)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
1147,7308538329,102621740,0,11519485,residential,West Washington Street,0,False,26.131595184709067,,,,,,no,,"LINESTRING (-76.4966239 38.9781754, -76.49670450000001 38.9784019)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
1148,7308538329,102607809,0,11519485,residential,West Washington Street,0,True,9.091113848678553,,,,,,no,,"LINESTRING (-76.4966239 38.9781754, -76.4965973 38.9780963)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
