,fromnode,tonode,key,linknwid,highway,name,oneway,reversed,length,lanes,maxspeed,ref,access,junction,bridge,tunnel,geometry,inundationDepth,LS_0,DS_0,DS_1,time,recov,mean_downtime,std_downtime
895,11400928887,102589153,0,1229453339,residential,,0,False,161.72446413690687,,,,private,,no,,"LINESTRING (-76.4773014 38.9806201, -76.47874640000001 38.981544)",12.597276516723324,0.724055176,0.275944824,0.724055176,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],"[0.27594482 0.27594482 0.27594503 0.63797241 0.99999979 1.
 1.         1.         1.         1.        ]",2.172165528,1.3409676853581147
896,11400928887,5794741402,0,377864877,residential,Turner Joy Road,1,False,429.5909069881315,,,,private,,no,,"LINESTRING (-76.4773014 38.9806201, -76.4795594 38.9785116, -76.48021970000001 38.9778933, -76.48028410000001 38.9778395, -76.4803677 38.9778077, -76.48058229999999 38.9777728)",13.648032911586453,0.7338186844,0.2661813156,0.7338186844,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],"[0.26618132 0.26618132 0.26618153 0.63309066 0.99999979 1.
 1.         1.         1.         1.        ]",2.2014560532000003,1.3258809323729623
897,102620903,102620905,0,11513341,residential,Ridout Street,0,False,37.86772336147075,,,,,,no,,"LINESTRING (-76.50100089999999 38.9801936, -76.50104399999999 38.9798547)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
898,102620905,102568128,0,11513341,residential,Ridout Street,0,False,72.47238685580118,,,,,,no,,"LINESTRING (-76.50104399999999 38.9798547, -76.5011238 38.9792059)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
899,102620905,102620903,0,11513341,residential,Ridout Street,0,True,37.86772336147075,,,,,,no,,"LINESTRING (-76.50104399999999 38.9798547, -76.50100089999999 38.9801936)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
900,102620905,102646387,0,824433731,residential,Clay Street,0,True,73.89274368454979,,15 mph,,,,no,,"LINESTRING (-76.50104399999999 38.9798547, -76.5001913 38.9798076)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
901,102620905,102652979,0,11519252,residential,Ridge Avenue,0,False,116.95651948702667,,,,,,no,,"LINESTRING (-76.50104399999999 38.9798547, -76.501475 38.9799004, -76.5018773 38.980306, -76.502027 38.9804705)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
902,8413536022,102629499,0,1071788458,residential,Tucker Street,0,False,48.90307817853396,,,,,,no,,"LINESTRING (-76.5008076 38.9904742, -76.501229 38.9907677)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
903,8413536022,102638844,0,1071788458,residential,Tucker Street,0,True,79.88380127758323,,,,,,no,,"LINESTRING (-76.5008076 38.9904742, -76.5001192 38.9899948)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
904,3981041564,102563658,0,1075128736,secondary,Duke of Gloucester Street,1,False,22.369377274644023,2,25 mph,,,,no,,"LINESTRING (-76.4878463 38.975283, -76.4876472 38.9751545)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
905,102653935,102639738,0,11519447,residential,Thompson Street,0,False,231.02011952364055,,,,,,no,,"LINESTRING (-76.49848369999999 38.9730545, -76.4971238 38.974843)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
906,102588622,102595472,0,"[11508112, 1303089561]",residential,"['Cheston Avenue', 'Franklin Street']",0,False,213.58205806296542,,,,,,no,,"LINESTRING (-76.49592029999999 38.9725189, -76.4972693 38.9731074, -76.49680240000001 38.9737271)",0.0,0.0,1.0,0.0,[0. 1. 2. 3. 4. 5. 6. 7. 8. 9.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0,0.0
